"","Lists","Title","Description","Runtime","Genre","Rating","Director","Actor","Gross","Votes","Metascore"
"1",1,"Once Upon a Time in... Hollywood","    A faded television actor and his stunt double strive to achieve fame and success in the film industry during the final years of Hollywood's Golden Age in 1969 Los Angeles.",161,"Comedy",8.2,"Quentin Tarantino","Leonardo DiCaprio",115.3,102831,83
"2",2,"Scary Stories to Tell in the Dark","    A group of teens face their fears in order to save their lives.",108,"Horror",6.5,"André Øvredal","Zoe Margaret Colletti",41.28,9631,61
"3",3,"Fast & Furious Presents: Hobbs & Shaw","    Lawman Luke Hobbs and outcast Deckard Shaw form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity.",137,"Action",6.8,"David Leitch","Dwayne Johnson",135.1,52013,60
"4",4,"Little Women","    Four sisters come of age in America in the aftermath of the Civil War.",NA,"Drama",NA,"Greta Gerwig","Florence Pugh",NA,NA,NA
"5",5,"Avengers: Endgame","    After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",181,"Action",8.6,"Anthony Russo","Robert Downey Jr.",858.1,529312,78
"6",6,"The Lion King","    After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",118,"Animation",7.1,"Jon Favreau","Donald Glover",497.8,87063,55
"7",7,"Last Christmas","    Kate is a young woman subscribed to bad decisions. Her last date with disaster? That of having accepted to work as Santa's elf for a department store. However, she meets Tom there. Her life takes a new turn. For Kate, it seems too good to be true.",NA,"Comedy",NA,"Paul Feig","Emilia Clarke",NA,NA,NA
"8",8,"Gisaengchung","    All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",132,"Comedy",8.6,"Joon-ho Bong","Kang-ho Song",NA,16505,89
"9",9,"Good Boys","    Three sixth grade boys ditch school and embark on an epic journey while carrying accidentally stolen drugs, being hunted by teenage girls, and trying to make their way home in time for a long-awaited party.",89,"Adventure",6.8,"Gene Stupnitsky","Jacob Tremblay",23.64,4629,60
"10",10,"Aladdin","    A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.",128,"Adventure",7.2,"Guy Ritchie","Will Smith",353.5,106883,53
"11",11,"Dora and the Lost City of Gold","    Dora, a teenage explorer, leads her friends on an adventure to save her parents and solve the mystery behind a lost city of gold.",102,"Adventure",6,"James Bobin","Isabela Moner",34.81,3066,63
"12",12,"It Chapter Two","    Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.",169,"Horror",NA,"Andy Muschietti","Bill Skarsgård",NA,NA,NA
"13",13,"Godzilla: King of the Monsters","    The crypto-zoological agency Monarch faces off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah.",132,"Action",6.3,"Michael Dougherty","Kyle Chandler",110.4,68276,48
"14",14,"Dolemite Is My Name","    When Hollywood shuts him out, multi-talented Rudy Ray Moore strikes out on his own to make the blaxploitation film Dolemite (1975).",118,"Biography",NA,"Craig Brewer","Eddie Murphy",NA,NA,NA
"15",15,"The Art of Racing in the Rain","    Through his bond with his owner, aspiring Formula One race car driver Denny, golden retriever Enzo learns that the techniques needed on the racetrack can also be used to successfully navigate the journey of life.",109,"Comedy",7.3,"Simon Curtis","Milo Ventimiglia",17.55,1975,43
"16",16,"Spider-Man: Far from Home","    Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.",129,"Action",7.9,"Jon Watts","Tom Holland",377,152380,69
"17",17,"Brightburn","    What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister?",90,"Horror",6.2,"David Yarovesky","Elizabeth Banks",17.3,34421,44
"18",18,"The Peanut Butter Falcon","    Zak runs away from his care home to make his dream of becoming a wrestler come true.",93,"Adventure",7.5,"Tyler Nilson","Shia LaBeouf",0.58,890,68
"19",19,"The Kitchen","    The wives of New York gangsters in Hell's Kitchen in the 1970s continue to operate their husbands' rackets after they're locked up in prison.",102,"Action",5.2,"Andrea Berloff","Melissa McCarthy",10.61,2028,36
"20",20,"Operation Brothers","    Israel's Mossad agents attempt to rescue Ethiopian Jewish refugees in Sudan in 1979.",129,"Drama",6.5,"Gideon Raff","Mbulelo Grootboom",NA,10900,NA
"21",21,"Alita: Battle Angel","    A deactivated cyborg is revived, but cannot remember anything of her past life and goes on a quest to find out who she is.",122,"Action",7.4,"Robert Rodriguez","Rosa Salazar",85.71,146943,53
"22",22,"Joker","    An original standalone origin story of the iconic villain not seen before on the big screen, it's a gritty character study of Arthur Fleck, a man disregarded by society, and a broader cautionary tale.",122,"Crime",NA,"Todd Phillips","Robert De Niro",NA,NA,NA
"23",23,"Midsommar","    A couple travels to Sweden to visit a rural hometown's fabled mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.",147,"Drama",7.6,"Ari Aster","Florence Pugh",25.94,32221,73
"24",24,"Ready or Not","    A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.",95,"Horror",7.2,"Matt Bettinelli-Olpin","Samara Weaving",NA,557,61
"25",25,"47 Meters Down: Uncaged","    Four teen girls diving in a ruined underwater city quickly learn they've entered the territory of the deadliest shark species in the claustrophobic labyrinth of submerged caves.",90,"Adventure",5.3,"Johannes Roberts","Sophie Nélisse",9.18,923,43
