"","created_at","screen_name","text"
"1",2019-08-21 08:35:36,"BoyGoera","@patragumala @uusbiasaaja Thor = Gundala, Loki = ??"
"2",2019-08-21 08:35:29,"BanyuSadewa","@hambaskincare Iya, w kira tadi juga dapet yg gelasnya kolabs sama Gundala"
"3",2019-08-21 08:34:31,"ajoetradya","@patragumala @uusbiasaaja Bilang gundala coba ajak spiderman buat gabung, kasian doi lagi pangling.."
"4",2019-08-21 08:33:57,"GammaraF","Fan art-nya #Gundala di CGV FX Sudirman ini kok ya keren amat? <U+2764><U+FE0F> https://t.co/rTnE9dHPm0"
"5",2019-08-20 12:45:32,"GammaraF","@jokoanwar Om, Gundala nanti rating filmnya apa ya? Sekelas PG13?"
"6",2019-08-21 08:40:11,"badshphrd","Di kantor, nama dan muka gua udah dikaitkan dengan gundala... sulit sulit..."
"7",2019-08-21 08:33:51,"badshphrd","Di kantor, nama dan muka gua udah dikonotasikan dengan gundala... sulit sulit"
"8",2019-08-21 08:33:35,"availbe","Selamat ya kepada teman-teman yang menang kuis #PinkHoodieGundala. @ET_Febrian @SandiDavid1986 @eka_neh @tipaa @madsimad @hannamariyam @zefanyachristy @bungadevin @timoraaa @angga_dm. #BCU29Agustus #Gundala #PinkHoodieGundala #NegeriIniButuhPatriot #BCU29Agustus2019 https://t.co/snEXizmxXs"
"9",2019-08-20 04:35:11,"availbe","THIS INDONESIAN SUPERHERO MOVIE “GUNDALA” LOOKS FUCKING AMAZING https://t.co/LUUnywUEX2"
"10",2019-08-20 07:16:28,"availbe","Teman-teman serbu tiket Gundala sekarang juga sebelum kehabisan yaaa!!! #BCU29Agustus #Gundala #NegeriIniButuhPatriot #BCU29Agustus2019 #JagoanIndonesia https://t.co/DKdQpzgIU2"
"11",2019-08-20 04:30:06,"availbe","Terimakasih teman-temanku yang udah beli tiket GUNDALA! Hanya 4 jam setelah diumumin, sebagian show udah hampir penuh! Yuk isi yang masih longgar! https://t.co/8oe17UlqhH"
"12",2019-08-20 12:48:59,"availbe","Makasih teman-teman di Summarecon Bekasi udah antri tiket GUNDALA. <U+0001F60D> https://t.co/O77TltciZC"
"13",2019-08-20 11:49:03,"availbe","Dapet kabar antrian tiket presale GUNDALA di Empire XXI Yogya. https://t.co/ljZGPqjfKD"
"14",2019-08-21 08:08:58,"ramjes","Pertemuan Gundala dengan Mlaar! Dalam komik Gundala Putra Petir: Perhitungan di Planet Covox. Karya Hasmi.

@tarabasro @jokoanwar @djaycoholyc https://t.co/xlyEhm5lGR"
"15",2019-08-21 08:33:16,"ramjes","@jokoanwar @TaraBasro @zaraJKT48 Gundala kalo naik motor, logonya jadi gini hehe hehe https://t.co/KoDWdtzcIE"
"16",2019-08-21 08:30:50,"ramjes","@CenayangFilm @WatchmenID gundala kalau naik motor, logonya jadi gini.. hehe hehe https://t.co/mMk4KP31Il"
"17",2019-08-21 08:17:32,"ramjes","Momen saat Gundala bertemu Aquanus di Planet Covox. @TaraBasro @jokoanwar @djaycoholyc https://t.co/vXIUn66Vd7"
"18",2019-08-21 08:32:13,"aprijunita","iki kalau ngajakin aku nnton marvel aku mwmw aja, terus skrg ngajakin nnton gundala. aku oke aja, pas kmren diajakin nnton bumi manusia dia malah kirim tweet review yg bilang ktnya film nya ngebosenin, ydah gak jadi :)"
"19",2019-08-21 08:32:03,"reginaldrasyid","@sumamadd @jokoanwar Jadi mang Batagor di tengah pertarungan sengit Gundala dan Pengkor"
"20",2019-08-21 08:31:18,"unusual_dhaniel","Terima kasih teman-teman yang udah beli tiket GUNDALA. Sebagian show di banyak kota udah rameeee.

Yang belum beli, segera beli yah. 

Nih buat yang udah beli, aku kasih hadiah wallpaper hi-res. 

https://t.co/QM10gSJfdD https://t.co/29CuyKc0ZI"
"21",2019-08-21 08:30:43,"chamommyle","ini presale gundala baru yg dolby atmos doang y"
"22",2019-08-21 03:42:33,"jokoanwar","Kenalin. Ini Teddy di Gundala. 
Remember his name. Karena... https://t.co/LWpHj6flXX"
"23",2019-08-21 08:29:45,"jokoanwar","Selamat ya kepada teman-teman yang menang kuis #PinkHoodieGundala. @ET_Febrian @SandiDavid1986 @eka_neh @tipaa @madsimad @hannamariyam @zefanyachristy @bungadevin @timoraaa @angga_dm. #BCU29Agustus #Gundala #PinkHoodieGundala #NegeriIniButuhPatriot #BCU29Agustus2019 https://t.co/snEXizmxXs"
"24",2019-08-20 11:04:01,"jokoanwar","Terima kasih teman-teman yang udah beli tiket GUNDALA. Sebagian show di banyak kota udah rameeee.

Yang belum beli, segera beli yah. 

Nih buat yang udah beli, aku kasih hadiah wallpaper hi-res. 

https://t.co/QM10gSJfdD https://t.co/29CuyKc0ZI"
"25",2019-08-20 13:42:05,"jokoanwar","Giveaway voucher GoTix 1,5 JUTA buat 10 pemenang: @ 150 REBU  

Pertanyaanya: bikin pantun dua kalimat pake kata GUNDALA

Contoh: 
Hari Kamis nonton Gundala.
Usahaku dapetin kamu yaudahlah ya. 

Syarat menang: RT dan follow Twitter @gotixindonesia + IG CenayangFilm 

MULAI!!! https://t.co/YRGXXKeByJ"
"26",2019-08-20 11:48:06,"jokoanwar","Dapet kabar antrian tiket presale GUNDALA di Empire XXI Yogya. https://t.co/ljZGPqjfKD"
"27",2019-08-20 12:31:46,"jokoanwar","Makasih teman-teman di Summarecon Bekasi udah antri tiket GUNDALA. <U+0001F60D> https://t.co/O77TltciZC"
"28",2019-08-21 01:37:20,"jokoanwar","Film Gundala udah selesai lama. Tinggal tekan PLAY aja nih, teman-teman. 

Distribusi film ke seluruh pelosok Indonesia butuh waktu sekitar 7 hari. Jadi tiap film yang tayang di bioskop harus selesai sedikitnya 7 hari sebelum tanggal rilis."
"29",2019-08-20 04:23:26,"jokoanwar","Terimakasih teman-temanku yang udah beli tiket GUNDALA! Hanya 4 jam setelah diumumin, sebagian show udah hampir penuh! Yuk isi yang masih longgar! https://t.co/8oe17UlqhH"
"30",2019-08-20 06:45:58,"jokoanwar","Teman-teman serbu tiket Gundala sekarang juga sebelum kehabisan yaaa!!! #BCU29Agustus #Gundala #NegeriIniButuhPatriot #BCU29Agustus2019 #JagoanIndonesia https://t.co/DKdQpzgIU2"
"31",2019-08-21 08:29:21,"muloyoung","@bumilangitcom @nicsap Semoga Komik Versi 1969 di Remastered &amp; dirilis jg kayak gundala hasmi"
"32",2019-08-21 08:29:18,"aulaamalia3","Presale #Gundala juga sudah dimulai di CGV dan Gotix. Diem-diem aja dulu. Amankan tiket sendiri, baru retweet. https://t.co/mDznMwgV4e"
"33",2019-08-21 08:25:39,"chanelRamlan","Giveaway voucher GoTix 1,5 JUTA buat 10 pemenang: @ 150 REBU  

Pertanyaanya: bikin pantun dua kalimat pake kata GUNDALA

Contoh: 
Hari Kamis nonton Gundala.
Usahaku dapetin kamu yaudahlah ya. 

Syarat menang: RT dan follow Twitter @gotixindonesia + IG CenayangFilm 

MULAI!!! https://t.co/YRGXXKeByJ"
"34",2019-08-21 08:28:07,"chanelRamlan","@CenayangFilm @gotixindonesia Beli tiket pre order Gundala ga usah Antri.
Tau aja kalo aku Keder liat si pujaan hati."
"35",2019-08-21 08:27:49,"eka_neh","Selamat ya kepada teman-teman yang menang kuis #PinkHoodieGundala. @ET_Febrian @SandiDavid1986 @eka_neh @tipaa @madsimad @hannamariyam @zefanyachristy @bungadevin @timoraaa @angga_dm. #BCU29Agustus #Gundala #PinkHoodieGundala #NegeriIniButuhPatriot #BCU29Agustus2019 https://t.co/snEXizmxXs"
"36",2019-08-21 08:27:18,"kevinhrmwn","Kenapa Spider Man keluar dari Marvel? karena mau bergabung dengan Gundala."
"37",2019-08-21 08:26:21,"zhafirahmr","@itsgitssy @askmenfess @risqayola Kan dibilangin susaahhh, ngajak2 gundala"
"38",2019-08-21 08:26:20,"ariefshally","Gundala Fan Art.
Kali aja dapet action figurnya (ngarep) atau paling nggak diretweet bang @jokoanwar deh, wkwkwkwk....
#Gundala https://t.co/Oc6tnbu6Gv"
"39",2019-08-21 08:24:46,"_muhammadhasib","Indonesia’s preeminent comic book superhero is adapted for the cinematic universe in Joko Anwar’s exhilarating GUNDALA, starring Abimana Aryasatya, Bront Palarae, Muzakki Ramdhan, and Tara Basro. #TIFF19 https://t.co/azWmA2Aq2J https://t.co/X6KuOFwQVO"
"40",2019-08-21 08:24:32,"_muhammadhasib","Patriot pertama #JagatSinenaBumilangit hadir 8 hari lagi! Woohoo! Kami sudah tidak sabar dan siaaap. Kalian sudah siap? <U+263A><U+FE0F> #negeriinibutuhpatriot #29agustus2019 #gundala #BCU https://t.co/FpGRatiSGt"
"41",2019-08-21 01:13:13,"_muhammadhasib","@rahmatcooper @azizimohdazri Makmum 6/10
Parasite 10/10
Gundala next week baru tengok ."
"42",2019-08-21 06:51:21,"EuisAkbana","Mau beli presale gundala, tapi gak adaaaaaa. Masak di bioskop yang dolby atmos doang yang ada presalenyaaa. Ndak adill weyy, di ptk ndak adee nihhhhhh<U+0001F62D><U+0001F62D><U+0001F62D>"
"43",2019-08-21 08:22:53,"EuisAkbana","@tix_id tolong min beri pencerahan sedikit, kenapa presale gundala hanya di jual di bioskop dengan xxi dolby atmos? Kenapa tidak di keseluruhan bioskop xxi???"
"44",2019-08-21 08:22:14,"semangkasegar","Gundala Putra Petir, Thor dan Atta Halilintar."
"45",2019-08-21 06:15:20,"semangkasegar","@SoundOfYogi @boeingr @aalvid yang kayak logo Gundala versi italic gitu. Kalau font yang dipake sekarang ya emang cocok buat business corporate abis. Ga sesuai sama icon muka. :))"
"46",2019-08-21 08:21:56,"Rintoariefn","Spiderman keluar dari mcu gapapa yang penting gundala di BCU haha 
#SaveSpiderman"
"47",2019-08-20 05:34:25,"knivesdiego","Bocoran scene dari Gundala yang 9 hari lagi akan tayang. Yuk segera dapatkan tiketnya mulai sekarang yaaa! #BCU29Agustus #Gundala #NegeriIniButuhPatriot #BCU29Agustus2019 #JagoanIndonesia https://t.co/SQ6vAlU4QT"
"48",2019-08-21 08:21:56,"knivesdiego","pink hoodie gundala ga dijual apa ya <U+2639>"
"49",2019-08-20 05:35:38,"knivesdiego","nonton gundala sendirian aja kali yaaa"
"50",2019-08-21 08:19:19,"RereaReista","@DawnDiamond Eeh itu kalo digabungin bs jadi judul artikel loh...gundala, siap2 suatu ketika bisa masuk hollywood <U+0001F923><U+0001F923><U+0001F923>"
"51",2019-08-21 08:16:56,"beauvalies","kemaren gue udah beli tiket gundala, hari ini mau beliin buat temen tapi udah penuh aja. yes people y'all better hype this film and the entire BCU movies!"
